"Plot Title: Multitron Temperature Stability"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 20490105, SEN S/N: 20490105)","Coupler Detached (LGR S/N: 20490105)","Coupler Attached (LGR S/N: 20490105)","Host Connected (LGR S/N: 20490105)","Stopped (LGR S/N: 20490105)","End Of File (LGR S/N: 20490105)"
1,12/12/18 09:00:00 PM,18.461,Logged,,,,
2,12/12/18 09:05:00 PM,18.461,,,,,
3,12/12/18 09:10:00 PM,18.438,,,,,
4,12/12/18 09:15:00 PM,18.390,,,,,
5,12/12/18 09:20:00 PM,18.461,,,,,
6,12/12/18 09:25:00 PM,18.366,,,,,
7,12/12/18 09:30:00 PM,18.343,,,,,
8,12/12/18 09:35:00 PM,18.295,,,,,
9,12/12/18 09:40:00 PM,18.319,,,,,
10,12/12/18 09:45:00 PM,18.343,,,,,
11,12/12/18 09:50:00 PM,18.343,,,,,
12,12/12/18 09:55:00 PM,18.366,,,,,
13,12/12/18 10:00:00 PM,18.366,,,,,
14,12/12/18 10:05:00 PM,18.295,,,,,
15,12/12/18 10:10:00 PM,18.319,,,,,
16,12/12/18 10:15:00 PM,18.366,,,,,
17,12/12/18 10:20:00 PM,18.343,,,,,
18,12/12/18 10:25:00 PM,18.295,,,,,
19,12/12/18 10:30:00 PM,18.295,,,,,
20,12/12/18 10:35:00 PM,18.343,,,,,
21,12/12/18 10:40:00 PM,18.343,,,,,
22,12/12/18 10:45:00 PM,18.319,,,,,
23,12/12/18 10:50:00 PM,18.295,,,,,
24,12/12/18 10:55:00 PM,18.247,,,,,
25,12/12/18 11:00:00 PM,18.319,,,,,
26,12/12/18 11:05:00 PM,18.319,,,,,
27,12/12/18 11:10:00 PM,18.343,,,,,
28,12/12/18 11:15:00 PM,18.366,,,,,
29,12/12/18 11:20:00 PM,18.271,,,,,
30,12/12/18 11:25:00 PM,18.271,,,,,
31,12/12/18 11:30:00 PM,18.295,,,,,
32,12/12/18 11:35:00 PM,18.295,,,,,
33,12/12/18 11:40:00 PM,18.295,,,,,
34,12/12/18 11:45:00 PM,18.295,,,,,
35,12/12/18 11:50:00 PM,18.295,,,,,
36,12/12/18 11:55:00 PM,18.319,,,,,
37,12/13/18 12:00:00 AM,18.271,,,,,
38,12/13/18 12:05:00 AM,18.295,,,,,
39,12/13/18 12:10:00 AM,18.271,,,,,
40,12/13/18 12:15:00 AM,18.295,,,,,
41,12/13/18 12:20:00 AM,18.319,,,,,
42,12/13/18 12:25:00 AM,18.271,,,,,
43,12/13/18 12:30:00 AM,18.247,,,,,
44,12/13/18 12:35:00 AM,18.271,,,,,
45,12/13/18 12:40:00 AM,18.271,,,,,
46,12/13/18 12:45:00 AM,18.200,,,,,
47,12/13/18 12:50:00 AM,18.271,,,,,
48,12/13/18 12:55:00 AM,18.247,,,,,
49,12/13/18 01:00:00 AM,18.247,,,,,
50,12/13/18 01:05:00 AM,18.271,,,,,
51,12/13/18 01:10:00 AM,18.224,,,,,
52,12/13/18 01:15:00 AM,18.224,,,,,
53,12/13/18 01:20:00 AM,18.224,,,,,
54,12/13/18 01:25:00 AM,18.224,,,,,
55,12/13/18 01:30:00 AM,18.224,,,,,
56,12/13/18 01:35:00 AM,18.224,,,,,
57,12/13/18 01:40:00 AM,18.247,,,,,
58,12/13/18 01:45:00 AM,18.224,,,,,
59,12/13/18 01:50:00 AM,18.224,,,,,
60,12/13/18 01:55:00 AM,18.224,,,,,
61,12/13/18 02:00:00 AM,18.224,,,,,
62,12/13/18 02:05:00 AM,18.224,,,,,
63,12/13/18 02:10:00 AM,18.224,,,,,
64,12/13/18 02:15:00 AM,18.224,,,,,
65,12/13/18 02:20:00 AM,18.200,,,,,
66,12/13/18 02:25:00 AM,18.200,,,,,
67,12/13/18 02:30:00 AM,18.200,,,,,
68,12/13/18 02:35:00 AM,18.176,,,,,
69,12/13/18 02:40:00 AM,18.152,,,,,
70,12/13/18 02:45:00 AM,18.176,,,,,
71,12/13/18 02:50:00 AM,18.200,,,,,
72,12/13/18 02:55:00 AM,18.200,,,,,
